Id,Label,timeset,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
cbsnews,cbsnews,,0,0,0,0,0,0,0,0
dianasophie15,dianasophie15,,0,0,0,0,0,0,0,0
cnn,cnn,,0,0,0,0,0,0,0,0
flyingboomerang,flyingboomerang,,0,0,0,0,0,0,0,0
canadianmom19,canadianmom19,,0,0,0,0,0,0,0,0
stylishstyletoo,stylishstyletoo,,0,1,1,1,1,1,0,13
galafr,galafr,,0,0,0,0,0,0,0,0
ambivertchic,ambivertchic,,0,1,1,1,1,1,0,9
newstalk18,newstalk18,,0,0,0,0,0,0,0,0
weareiowa5news,weareiowa5news,,0,0,0,0,0,0,0,0
alineinti,alineinti,,0,0,0,0,0,0,0,0
reuterspictures,reuterspictures,,0,0,0,0,0,0,0,0
rishish52934024,rishish52934024,,0,0,0,0,0,0,0,0
captainteag,captainteag,,0,0,0,0,0,0,0,0
tryptich1,tryptich1,,0,0,0,0,0,0,0,0
peepme_this,peepme_this,,0,0,0,0,0,0,0,0
helenmarypike,helenmarypike,,0,0,0,0,0,0,0,0
heldineu,heldineu,,0,0,0,0,0,0,0,0
duchessdearly,duchessdearly,,0,5,5,1,1,1,0,9
udlah,udlah,,0,0,0,0,0,0,0,0
derschwarzbaron,derschwarzbaron,,0,0,0,0,0,0,0,0
ldstep,ldstep,,0,0,0,0,0,0,0,0
gemmathegr8,gemmathegr8,,0,2,2,1,1,1,0,9
linzevc,linzevc,,0,0,0,0,0,0,0,0
kaiseratcb,kaiseratcb,,0,0,0,0,0,0,0,0
heartgodric,heartgodric,,0,0,0,0,0,0,0,0
anna_soubry,anna_soubry,,0,0,0,0,0,0,0,0
filippo83900284,filippo83900284,,0,0,0,0,0,0,0,5
